51,423
52,753
53,217
54,42
55,898
56,712
57,728
58,510
59,835
60,77
61,152
62,85
63,652
64,994
65,179
66,839
67,279
68,273
69,920
70,340
71,559
72,785
73,557
74,773
75,600
76,757
77,363
78,470
79,904
80,263
81,153
82,146
83,840
84,307
85,610
86,65
87,243
88,781
89,35
90,741
91,95
92,304
93,721
94,712
95,493
96,353
97,12
98,331
99,258
100,53
101,57
102,129
103,132
104,440
105,276
106,930
107,924
108,692
109,602
110,615
111,42
112,202
113,741
114,584
115,489
116,197
117,497
118,688
119,708
120,21
121,906
122,485
123,667
124,77
125,825
126,502
127,1015
128,744
129,161
130,5
131,723
132,254
133,1005
134,421
135,213
136,243
137,729
138,228
139,91
140,1018
141,108
142,451
143,337
144,994
145,32
146,942
147,12
148,737
149,262
150,664
151,109
152,865
153,1023
153,308
152,161
151,30
150,793
149,765
148,566
147,592
146,745
145,439
144,641
143,911
142,963
141,58
140,798
139,271
138,448
137,812
136,580
135,85
134,634
133,968
132,683
131,592
130,201
129,434
128,222
127,690
126,246
125,181
124,482
123,588
122,79
121,989
120,927
119,136
118,615
117,701
116,462
115,543
114,1010
113,353
112,256
111,910
110,632
109,407
108,407
107,270
106,564
105,610
104,775
103,215
102,94
101,71
100,673
99,88
98,41
97,142
96,859
95,930
94,1013
93,866
92,70
91,390
90,924
89,708
88,814
87,822
86,298
85,258
84,115
83,18
82,100
81,486
80,774
79,903
78,239
77,595
76,265
75,209
74,776
73,851
72,847
71,593
70,504
69,357
68,399
67,948
66,752
65,384
64,951
63,715
62,793
61,1006
60,154
59,235
58,471
57,792
56,716
55,79
54,162
53,124
52,908
51,55
